state,state_id,coal,crude_oil,electricity,fuel_ethanol,natural_gas,rpp,uranium,grand_total
Alabama,0,4,10,0,0,0,3959499,7248,3966761
Alaska,1,0,1091,0,0,0,44388658,24511,44414260
Arizona,2,312643,210834,0,0,0,3366305,2187,3891968
Arkansas,3,43770,31683,0,0,0,4965580,347915,5388948
California,4,2225104,28876,112409,128982,959,215056644,1946682,219499655
Colorado,5,9730,595,0,0,0,1887400,0,1897725
Connecticut,6,4191,26,195861,0,51210127,28602463,20595,80033264
Delaware,7,1137,0,0,0,0,34035750,11127,34048013
District of Columbia,8,0,0,0,0,0,201,0,201
Florida,9,1972263,114,337148,0,0,11134920,1099849,14544295
Georgia,10,38270,0,0,0,0,7772540,2665091,10475901
Hawaii,11,0,0,0,0,0,0,0,0
Idaho,12,0,56,0,0,28824,1720223,589203,2338306
Illinois,13,4126156,46425,0,184483,0,974438595,224997330,1203792989
Indiana,14,13367937,25721214,3929552,0,0,85339359,22787709,151145771
Iowa,15,2779,0,0,112481227,0,12433776,0,124917782
Kansas,16,27906,0,0,25168886,6360091,32343395,0,63900278
Kentucky,17,33854376,2929,0,0,0,22034078,66490,55957873
Louisiana,18,0,288547160,0,0,0,572755348,668762,861971270
Maine,19,11745,0,264818,1579080,203990700,3462237,0,209308580
Maryland,20,1352,18845,0,0,495,3861391,84146,3966229
Massachusetts,21,22413,38,4297949,11134,698262,3595336,19122873,27748005
Michigan,22,86819961,27062464,10337,78427,598492325,131114017,8489,843586020
Minnesota,23,8787677,2798059,295,97058216,1267484,1189365180,140423,1299417336
Mississippi,24,10593,70981,0,42905,0,16659351,12677,16796506
Missouri,25,55341692,2564,0,166527,0,12838770,29412008,97761562
Montana,26,53957,10,10458780,0,0,30663023,0,41175770
Nebraska,27,0,0,0,649451,165592248,25693522,0,191935221
Nevada,28,402,259,0,0,0,417544,0,418205
New Hampshire,29,0,2,0,47827,10041498,4141477,8108,14238912
New Jersey,30,1685473,15266,0,14056,21054421,99024124,2089157,123882498
New Mexico,31,85929,5,0,0,0,30041,799630,915605
New York,32,9854357,11163,811677,45773,347260227,99182310,171909,457337416
North Carolina,33,6132764,1,0,2857,0,4542480,3613,10681715
North Dakota,34,316820,1523019057,8849,85508229,4157388,1977317002,0,3590327345
Ohio,35,23704187,14580021,0,0,0,202597477,900873,241782558
Oklahoma,36,5062,17655,0,0,228,45448486,2031,45473463
Oregon,37,147117,4636,1310047,0,0,55720195,20,57182015
Pennsylvania,38,209222555,40446,0,2835,52,186373874,7973,395647734
Puerto Rico,39,0,0,0,0,0,29888,0,29888
Rhode Island,40,71,0,0,0,0,199864,0,199935
South Carolina,41,34527,1077,0,0,0,2512684,233,2548521
South Dakota,42,0,11,0,53575175,0,84391,30,53659607
Tennessee,43,719921,106367,0,1422048,0,8812237,409291,11469864
Texas,44,91670,5004637188,2684743,10839699,60001837,1610172187,115057,6688542380
U.S. Virgin Islands,45,0,0,0,0,0,9273569,0,9273569
Utah,46,12889504,1050353,0,0,0,5208855,0,19148712
Vermont,47,0,0,0,0,0,152782,0,152782
Virginia,48,9824628,843628,0,0,0,10034121,106421,20808798
Washington,49,1829469,9032884,165953921,75,3726685,365037131,1106632,546686798
West Virginia,50,197012794,0,0,0,0,30652734,0,227665527
Wisconsin,51,3414793,6477,0,83812720,0,47117745,0,134351734
Wyoming,52,3488,297,0,0,0,5911182,1078006,6992973
